French,English
histoire,history
seulement,only
police,police
pensais,thought
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
perdu,lost
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
donne,given
fin,end
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
